L,0,
pi,26,
k,26,
action,0, 0.0, 0.0,
action,1, 0.0, 0.0,
action,2, 0.0, 2.0,
action,3, 0.0, 0.0,
action,4, 0.0, 0.0,
action,5, 0.0, 0.0,
action,6, 0.0, 0.0,
action,7, 0.0, 0.0,
action,8, 0.0, 0.0,
action,9, 0.0, 0.0,
action,10, 0.0, 0.0,
action,11, 0.0, 0.0,
action,12, 0.0, 0.0,
action,13, 0.0, 0.0,
action,14, 0.0, 0.0,
action,15, 0.0, 0.0,
action,16, 0.0, 0.0,
action,17, 0.0, 0.0,
action,18, 0.0, 1.0,
action,19, 0.0, 0.0,
action,20, 0.0, 1.0,
action,21, 0.0, 1.0,
action,22, 0.0, 1.0,
action,23, 0.0, 0.0,
action,24, 0.0, 0.0,
action,25, 0.0, 0.0,
action,26, 0.0, 9.0,
state,loc:8:bat:10:rs:0-3,
state,loc:0:bat:10:rs:0-3,
state,loc:23:bat:10:rs:0-,

k,3,
action,0, 0.0, 0.0,
action,1, 0.08203125, 2.0,
action,2, 0.0, 1.0,
action,3, 28.5, 2.0,
action,4, 0.0, 0.0,
action,5, 0.0, 0.0,
action,6, 0.0, 1.0,
action,7, 0.0, 0.0,
action,8, 0.0, 0.0,
action,9, 6.75, 1.0,
action,10, 13.734375, 2.0,
action,11, 0.0, 1.0,
action,12, 0.0, 1.0,
action,13, 0.0, 0.0,
action,14, 54.0, 1.0,
action,15, 0.0, 0.0,
action,16, 0.0, 0.0,
action,17, 0.0, 1.0,
action,18, 13.78125, 2.0,
action,19, 0.0, 0.0,
action,20, 0.0, 0.0,
action,21, 0.0, 1.0,
action,22, 0.0, 0.0,
action,23, 0.0, 0.0,
action,24, 0.0, 0.0,
action,25, 0.0, 2.0,
action,26, 0.524017333984, 12.0,
state,loc:2:bat:10:rs:0-3,
state,loc:21:bat:10:rs:0-,

k,11,
action,0, 0.328125, 2.0,
action,1, 0.0, 3.0,
action,2, 0.1875, 2.0,
action,3, 0.0, 1.0,
action,4, 0.0, 1.0,
action,5, 0.0, 2.0,
action,6, 22.5, 2.0,
action,7, 3.66666666667, 3.0,
action,8, 7.78125, 2.0,
action,9, 0.0, 1.0,
action,10, 57.0, 1.0,
action,11, 61.3461914062, 4.0,
action,12, 10.5139160156, 2.0,
action,13, 2.878125, 5.0,
action,14, 10.546875, 3.0,
action,15, 10.0048828125, 4.0,
action,16, 8.49609375, 2.0,
action,17, 0.0, 2.0,
action,18, 6.0, 2.0,
action,19, 1.78125, 2.0,
action,20, 0.0, 2.0,
action,21, 0.03125, 3.0,
action,22, 0.0, 2.0,
action,23, 0.65625, 2.0,
action,24, 2.63671875, 4.0,
action,25, 0.140625, 1.0,
action,26, 0.163462262835, 24.0,
state,loc:10:bat:10:rs:0-,
state,loc:6:bat:10:rs:0-3,

k,14,
action,0, 1.37109375, 4.0,
action,1, 1.465625, 5.0,
action,2, 9.22265625, 2.0,
action,3, 2.802734375, 6.0,
